id,data,hora,temperatura,status,umidade
A22,2021-10-08,10:01, 29,1, 76
A22,2021-10-08,10:02, 29,1, 76
A22,2021-10-08,10:04, 29,1, 76
A22,2021-10-08,10:05, 29,1, 76
A22,2021-10-08,10:06, 29,1, 76
A22,2021-10-08,10:40, 30,1, 72
A22,2021-10-08,10:43, 29,1, 72
A22,2021-10-08,10:47, 30,1, 72
A22,2021-10-08,10:50, 29,1, 71
A22,2021-10-08,10:55, 28,1, 67
A11,2021-10-08,11:00, 5,1,88
A11,2021-10-08,11:01, 2,1,87
A11,2021-10-08,11:02, 0,1,86
A11,2021-10-08,11:03,-1,1,86
A11,2021-10-08,11:04,-2,1,86
A11,2021-10-08,11:06,-3,1,85
A22,2021-10-08,11:11, 29,1, 64
A22,2021-10-08,11:14, 30,1, 63
A11,2021-10-08,11:15,-5,1,60
A11,2021-10-08,11:16,-4,1,56
A22,2021-10-08,11:17, 31,1, 62
A11,2021-10-08,11:37,-6,1,38
A11,2021-10-08,11:38,-4,1,37
A11,2021-10-08,11:39,-6,1,37
A11,2021-10-08,11:41,-5,1,37
A11,2021-10-08,11:42,-6,1,37
A11,2021-10-08,11:43,-5,1,37
A11,2021-10-08,11:44,-6,1,37
A22,2021-10-08,11:45, 30,1, 69
A11,2021-10-08,11:45,-5,1,37
A22,2021-10-08,11:51, 29,1, 75
A11,2021-10-08,12:14,-7,1,35
A11,2021-10-08,12:15,-5,1,35
A22,2021-10-08,12:16, 30,1, 76
A11,2021-10-08,12:19,-4,1,46
A11,2021-10-08,12:20,-6,1,48
A22,2021-10-08,12:21, 29,1, 77
A22,2021-10-08,12:22, 30,1, 77
A11,2021-10-08,12:22,-4,1,53
A22,2021-10-08,12:23, 29,1, 77
A11,2021-10-08,12:26,-5,1,61
A11,2021-10-08,12:27,-3,1,64
A11,2021-10-08,12:30,-4,1,70
A22,2021-10-08,12:31, 30,1, 77
A11,2021-10-08,12:31,-2,1,71
A11,2021-10-08,12:40,-3,1,79
A22,2021-10-08,12:41, 29,1, 78
A11,2021-10-08,12:41, 3,1,87
A22,2021-10-08,12:42, 30,1, 78
A11,2021-10-08,12:42,17,1,92
A11,2021-10-08,12:43,10,1,88
A11,2021-10-08,12:44, 6,1,88
A22,2021-10-08,12:45, 29,1, 78
A11,2021-10-08,12:45, 4,1,87
A11,2021-10-08,12:46, 3,1,87
A11,2021-10-08,12:47, 2,1,87
A22,2021-10-08,12:49, 30,1, 78
A11,2021-10-08,12:49, 1,1,86
A11,2021-10-08,12:50, 2,1,87
A11,2021-10-08,12:52, 1,1,86
A22,2021-10-08,12:53, 29,1, 77
A11,2021-10-08,12:59, 2,1,87
A11,2021-10-08,13:00, 1,1,86
A11,2021-10-08,13:01, 2,1,87
A11,2021-10-08,13:15, 1,1,86
A11,2021-10-08,13:16, 2,1,87
A11,2021-10-08,13:25, 2,1,87
A11,2021-10-08,13:27,11,1,89
A11,2021-10-08,13:28,19,1,93
A11,2021-10-08,13:29,22,1,95
A11,2021-10-08,13:31,23,1,95
A11,2021-10-08,13:33,24,1,95
A11,2021-10-08,13:34,25,1,94
A11,2021-10-08,13:35,26,1,92
A11,2021-10-08,13:36,27,1,90
A11,2021-10-08,13:37,26,1,89
A11,2021-10-08,13:57,26,1,79
A11,2021-10-08,13:58,21,1,44
A11,2021-10-08,13:59,14,1,51
A11,2021-10-08,14:00,10,1,56
A11,2021-10-08,14:01, 7,1,61
A11,2021-10-08,14:02, 6,1,63
A11,2021-10-08,14:03, 5,1,63
A11,2021-10-08,14:04, 4,1,61
A11,2021-10-08,14:06, 3,1,61
A11,2021-10-08,14:11, 2,1,59
A11,2021-10-08,14:12, 3,1,58
A11,2021-10-08,14:13, 2,1,58
A22,2021-10-08,14:20, 30,1, 80
A22,2021-10-08,14:31, 31,1, 74
A22,2021-10-08,14:32, 30,1, 74
A22,2021-10-08,14:40, 29,1, 78
A22,2021-10-08,14:42, 30,1, 77
A22,2021-10-08,14:45, 31,1, 73
A22,2021-10-08,14:58, 30,1, 72
A22,2021-10-08,15:05, 31,1, 72
A22,2021-10-08,15:06, 30,1, 70
A22,2021-10-08,15:07, 31,1, 68
A22,2021-10-08,15:14, 30,1, 69
A22,2021-10-08,15:15, 31,1, 70
A11,2021-10-08,15:23, 1,1,32
A11,2021-10-08,15:24, 2,1,32
A11,2021-10-08,15:28, 1,1,31
A11,2021-10-08,15:31, 2,1,32
A11,2021-10-08,15:32, 1,1,30
A22,2021-10-08,15:34, 30,1, 71
A11,2021-10-08,15:34, 2,1,31
A22,2021-10-08,15:36, 31,1, 71
A11,2021-10-08,15:36, 1,1,30
A11,2021-10-08,15:38, 2,1,31
A11,2021-10-08,15:39, 1,1,30
A22,2021-10-08,15:42, 30,1, 72
A22,2021-10-08,15:43, 31,1, 72
A22,2021-10-08,15:44, 30,1, 72
A22,2021-10-08,15:45, 31,1, 72
A22,2021-10-08,15:51, 30,1, 72
A22,2021-10-08,15:52, 31,1, 71
A22,2021-10-08,15:55, 30,1, 73
A22,2021-10-08,16:03, 29,1, 77
A22,2021-10-08,16:09, 28,1, 86
A22,2021-10-08,16:11, 29,1, 88
A22,2021-10-08,16:13, 28,1, 88
A22,2021-10-08,16:29, 29,1, 87
A22,2021-10-08,16:32, 27,1, 87
A22,2021-10-08,16:33, 28,1, 87
A22,2021-10-08,16:35, 29,1, 87
A11,2021-10-08,16:41, 0,1,26
A11,2021-10-08,16:42, 1,1,26
A11,2021-10-08,16:43, 0,1,26
A11,2021-10-08,16:45, 1,1,26
A11,2021-10-08,16:46, 0,1,26
A11,2021-10-08,16:47, 1,1,26
A11,2021-10-08,16:48, 0,1,26
A22,2021-10-08,16:49, 28,1, 91
A11,2021-10-08,18:37,-1,1,25
A11,2021-10-08,18:38, 0,1,25
A11,2021-10-08,18:43,-2,1,25
A11,2021-10-08,18:46, 0,1,25
A11,2021-10-08,18:47,-2,1,25
A11,2021-10-08,18:49,-1,1,25
A11,2021-10-08,18:51,-2,1,25
A11,2021-10-08,18:52,-1,1,25
A11,2021-10-08,19:19,-2,1,31
A11,2021-10-08,19:20, 0,1,34
A22,2021-10-08,19:42, 28,1, 91
A22,2021-10-08,19:44, 27,1, 93
A11,2021-10-08,20:23, 1,1,77
A11,2021-10-08,20:25, 0,1,77
A11,2021-10-08,20:28, 1,1,79
A11,2021-10-08,20:29, 0,1,79
A11,2021-10-08,20:31, 1,1,80
A11,2021-10-08,20:57, 2,1,30
A11,2021-10-08,20:58, 1,1,28
A11,2021-10-08,21:29, 0,1,22
A11,2021-10-08,21:30, 1,1,22
A11,2021-10-08,21:35, 0,1,21
A11,2021-10-08,21:36, 1,1,21
A11,2021-10-08,21:37, 0,1,21
A11,2021-10-08,21:39, 1,1,21
A11,2021-10-08,21:40, 0,1,21
A11,2021-10-08,21:49, 1,1,21
A11,2021-10-08,21:50, 0,1,20
A22,2021-10-08,22:07, 26,1, 99
A22,2021-10-08,22:08, 27,1, 99
A22,2021-10-08,22:21, 26,1, 99
A22,2021-10-08,22:22, 27,1, 99
A22,2021-10-08,22:27, 26,1, 99
A22,2021-10-08,22:28, 27,1, 99
A22,2021-10-08,22:31, 26,1, 99
A22,2021-10-08,22:32, 27,1, 99
A22,2021-10-08,22:33, 26,1, 99
A22,2021-10-08,22:35, 27,1, 99
A22,2021-10-08,22:36, 26,1, 99
A11,2021-10-08,23:14,-1,1,20
A11,2021-10-08,23:15,-2,1,20
A11,2021-10-08,23:16, 0,1,20
A11,2021-10-08,23:17,-1,1,20
A11,2021-10-08,23:18, 0,1,20
A11,2021-10-08,23:20,-2,1,20
A11,2021-10-08,23:23, 0,1,21
A11,2021-10-08,23:24,-1,1,21
A11,2021-10-08,23:33,-2,1,21
